F1::#!!I,F2::Tool,F3::Feature,F4::Unit,F5::Value,,,,,
4,Multiple Calipers,Distances0001,Pixel,,35.72,181.63,,,
,,,,,,,,,
5,Multiple Calipers,Distances0001,Pixel,,46,104,146,,
,,,,,,,,,
,,,,,,,,,
6,Multiple Calipers,Distances0001,Pixel,,36.64,77.62,,,
,,,,,,,,,
7,Multiple Calipers,Distances0001,Pixel,,26,71,,,
,,,,,,,,,
8,Line,Length,Pixel,99,,,,,
9,Line,Length,Pixel,49.16,,,,,
10,Length,Distance,Pixel,54.08,,,,,
11,Multiple Calipers,Distances0001,Pixel,,12,39,,,
,,,,,,,,,
12,Length,Distance,Pixel,47.38,,,,,
13,Length,Distance,Pixel,59,,,,,
14,Line,Length,Pixel,30.36,,,,,
1,Line,Length,Pixel,92.01,,,,,
2,Line,Length,Pixel,124.1,,,,,
3,Multiple Calipers,Distances0001,Pixel,,79,123,184,,
,,,,,,,,,
,,,,,,,,,
4,Multiple Calipers,Distances0001,Pixel,,27,57,83,136,168
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
5,Length,Distance,Pixel,61.01,,,,,
6,Multiple Calipers,Distances0001,Pixel,,31,51,,,
,,,,,,,,,
7,Multiple Calipers,Distances0001,Pixel,,26,48,,,
,,,,,,,,,
8,Multiple Calipers,Distances0001,Pixel,,23,53,,,
,,,,,,,,,
9,Multiple Calipers,Distances0001,Pixel,,29,101,,,
,,,,,,,,,
10,Multiple Calipers,Distances0001,Pixel,,19,56,,,
,,,,,,,,,
11,Multiple Calipers,Distances0001,Pixel,,39.65,104.08,,,
,,,,,,,,,
12,Multiple Calipers,Distances0001,Pixel,,52,138,,,
,,,,,,,,,
13,Multiple Calipers,Distances0001,Pixel,,57.06,103.39,,,
,,,,,,,,,
14,Multiple Calipers,Distances0001,Pixel,,47.52,120.49,,,
,,,,,,,,,
15,Length,Distance,Pixel,50.16,,,,,
16,Multiple Calipers,Distances0001,Pixel,,24.52,54.55,80.17,,
,,,,,,,,,
,,,,,,,,,
17,Length,Distance,Pixel,44,,,,,
18,Length,Distance,Pixel,29.07,,,,,
19,Multiple Calipers,Distances0001,Pixel,,23,72,,,
,,,,,,,,,
20,Line,Length,Pixel,93.54,,,,,
21,Multiple Calipers,Distances0001,Pixel,,38.46,103,139.96,168.51,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,Multiple Calipers,Distances0001,Pixel,,66,273,295,,
,,,,,,,,,
,,,,,,,,,
2,Multiple Calipers,Distances0001,Pixel,,64,149,,,
,,,,,,,,,
3,Multiple Calipers,Distances0001,Pixel,,53,91,122,172,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
4,Length,Distance,Pixel,76.42,,,,,
5,Multiple Calipers,Distances0001,Pixel,,71,93,123,,
,,,,,,,,,
,,,,,,,,,
6,Multiple Calipers,Distances0001,Pixel,,64,134,,,
,,,,,,,,,
7,Multiple Calipers,Distances0001,Pixel,,52.34,98.94,,,
,,,,,,,,,
8,Length,Distance,Pixel,53,,,,,
9,Multiple Calipers,Distances0001,Pixel,,75,218,277,,
,,,,,,,,,
,,,,,,,,,
10,Multiple Calipers,Distances0001,Pixel,,66,117,,,
,,,,,,,,,
11,Multiple Calipers,Distances0001,Pixel,,25.48,95.19,163.08,,
,,,,,,,,,
,,,,,,,,,
12,Multiple Calipers,Distances0001,Pixel,,42.95,80.99,,,
,,,,,,,,,
13,Length,Distance,Pixel,52.04,,,,,
14,Multiple Calipers,Distances0001,Pixel,,65.37,124.41,,,
,,,,,,,,,
15,Line,Length,Pixel,106.38,,,,,
16,Line,Length,Pixel,42,,,,,
17,Line,Length,Pixel,109,,,,,
18,Multiple Calipers,Distances0001,Pixel,,53,107,,,
,,,,,,,,,
19,Line,Length,Pixel,59.14,,,,,
20,Line,Length,Pixel,36.06,,,,,
21,Line,Length,Pixel,46.04,,,,,
22,Multiple Calipers,Distances0001,Pixel,,15.83,90.07,,,
,,,,,,,,,
23,Multiple Calipers,Distances0001,Pixel,,46,93,,,
,,,,,,,,,
24,Multiple Calipers,Distances0001,Pixel,,88,182,,,
,,,,,,,,,
25,Line,Length,Pixel,107.04,,,,,
26,Line,Length,Pixel,56.57,,,,,
27,Line,Length,Pixel,47.38,,,,,
28,Length,Distance,Pixel,120,,,,,
29,Multiple Calipers,Distances0001,Pixel,,38,178,,,
,,,,,,,,,
30,Multiple Calipers,Distances0001,Pixel,,38,117,,,
,,,,,,,,,
31,Multiple Calipers,Distances0001,Pixel,,53,106,,,
,,,,,,,,,
32,Multiple Calipers,Distances0001,Pixel,,44,96,,,
,,,,,,,,,
33,Multiple Calipers,Distances0001,Pixel,,26,116,,,
,,,,,,,,,
34,Multiple Distance,Distances0001,Pixel,,26,42,141,,
,,,,,,,,,
,,,,,,,,,
35,Multiple Calipers,Distances0001,Pixel,,41,108,,,
,,,,,,,,,
36,Length,Distance,Pixel,49,,,,,
37,Multiple Calipers,Distances0001,Pixel,,55,108,,,
,,,,,,,,,
38,Multiple Calipers,Distances0001,Pixel,,34,126,,,
,,,,,,,,,
39,Multiple Calipers,Distances0001,Pixel,,25.98,96.17,,,
,,,,,,,,,
40,Line,Length,Pixel,154.32,,,,,
41,Multiple Distance,Distances0001,Pixel,,21,73,106,,
,,,,,,,,,
,,,,,,,,,
42,Multiple Distance,Distances0001,Pixel,,16,67,115,,
,,,,,,,,,
,,,,,,,,,
43,Multiple Calipers,Distances0001,Pixel,,35,80.5,,,
,,,,,,,,,
44,Line,Length,Pixel,127,,,,,
45,Line,Length,Pixel,89.05,,,,,
46,Line,Length,Pixel,123.04,,,,,
47,Multiple Calipers,Distances0001,Pixel,,48,63,102,,
,,,,,,,,,
,,,,,,,,,
48,Multiple Calipers,Distances0001,Pixel,,49.56,105.76,,,
,,,,,,,,,
49,Multiple Calipers,Distances0001,Pixel,,41,151,,,
,,,,,,,,,
1,Multiple Calipers,Distances0001,Pixel,,59,121,,,
,,,,,,,,,
2,Multiple Distance,Distances0001,Pixel,,52,140,171,,
,,,,,,,,,
,,,,,,,,,
3,Multiple Distance,Distances0001,Pixel,,38,127,180,,
,,,,,,,,,
,,,,,,,,,
4,Multiple Calipers,Distances0001,Pixel,,49,121,,,
,,,,,,,,,
5,Length,Distance,Pixel,69.03,,,,,
6,Multiple Calipers,Distances0001,Pixel,,69,111,154,,
,,,,,,,,,
,,,,,,,,,
